Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
YLANG YLANG OIL,33012943,0.32,4.7,0.27,69.12,1.19,1.38,-1.61,107.02,0.78,25.65,KGS
DAVANA OIL,33012944,0.02,-4.11,7.25,-13.58,0,0.01,-3.49,392.16,-1.72,531.52,KGS
CUMIN OIL,33012945,0.19,1.81,0.75,0.22,0.25,0.21,-0.6,107.71,-1.13,36.74,KGS
CELERY SEED OIL,33012946,0,0,1.91,5.1,0,0,0,0,-0.24,75.13,KGS
GARLIC 0IL,33012947,1.22,-0.8,3.21,7.6,0.38,0.48,-1.32,62.55,-0.87,30.08,KGS
PAPRIKA 0IL,33012948,0,-5.56,0.11,53.13,0,0.26,-5.56,0,7.89,52.41,KGS
TURMERIC OIL,33012949,2.13,4.86,1.61,20,1.32,1.09,0.52,96.29,-2.98,13.16,KGS
SPICES OIL&N.E.S.,33012950,1.15,0.67,14.4,40.57,0.08,0.11,0.8,100.1,-0.28,42.85,KGS
OTHERS,33012990,27.33,0.9,59.77,16.52,0.46,0.5,0.36,47.28,-0.68,55.87,KGS
AGAR OIL,33013010,0.4,8.33,0.11,-24.22,3.64,1.17,-1.1,4081.63,-22.93,3548.39,KGS
FLAVOURING ESSENCES& ALL TYPES& INCLUDING THOSE FOR LIQUORS (RESINOIDS),33013091,0.11,0.56,1.76,-12.07,0.06,0.05,2.34,199.64,3.86,12.15,KGS
OTHER RESINOIDS N.E.S.,33013099,2.63,2.01,0.73,7.94,3.6,3.21,-0.73,31.86,2.42,31.75,KGS
FENNUGREEK OLEORESINS,33019011,0.02,-3.89,1.57,-3.73,0.01,0.03,11.5,32.31,-0.45,9.79,KGS
GINGER OLEORESINS,33019012,0.55,7,7.93,-3.64,0.07,0.04,-1.78,27.01,0.99,38.98,KGS
PEPPER OLEORESINS,33019013,7.59,0.5,61.68,3.4,0.12,0.12,-0.94,41.38,-0.26,36.41,KGS
TURMERIC OLEORESINS,33019014,3.67,28.81,107.15,5.15,0.03,0.01,-0.58,44.49,0.71,52.68,KGS
CARDAMOM OLEORESINS,33019015,0.02,2.78,2.6,34.42,0.01,0.01,-2.14,266.67,4.19,101.12,KGS
CELERY SEED OLEORESINS,33019016,0,-5.56,3.54,5.95,0,0,-5.56,0,-0.55,8.77,KGS
NUT MEG OLEORESINS,33019017,0.23,-0.76,7.03,11.7,0.03,0.04,-0.87,9.56,-1.08,17.45,KGS
CLOVE OLEORESIN,33019021,0.02,-2.53,1.02,4.26,0.02,0.03,18.98,45.45,-1.58,30.19,KGS
CAPSICUM OLEORESINES,33019022,91.33,0.48,118.18,-6.1,0.77,0.66,1.9,39.51,-0.66,25.75,KGS
CORRIANDER OLEORESIN,33019023,0.16,6.04,1.96,10.12,0.08,0.06,0.01,7.95,-0.51,18.39,KGS
CUMIN OLEORESIN,33019024,0,-5.56,3.27,37.9,0,0.01,-5.56,0,0.44,23.72,KGS
FENNEL OLEORESIN,33019025,0,0,0.46,54.55,0,0,0,0,0.9,20.18,KGS
OLEORESINES OF SPICES N.E.S.&,33019029,18.57,2.78,101.43,-5.79,0.18,0.13,0.04,38.58,-0.11,19.41,KGS
ATTARS OF ALL KINDS IN FIXED OIL BASE,33019031,0,-5.56,5.88,-30.16,0,0.63,-5.56,0,-4.02,16.06,KGS
MUSTARD OIL AROMA,33019032,0.11,-4.53,7.75,26.99,0.01,0.08,-1.5,112.94,-1.66,5.09,KGS
ESSENCE 0F AMBRETT0LIDE (AMBRETTE SEED 0IL ESSENCE),33019033,0,-5.56,19.65,4.48,0,0,-5.56,0,-0.01,168.04,KGS
FLAVOURING ESSENCES& ALL TYPES& INCL THOSEFOR LIQUORS OBTAIN BY COLD ABSORPT OR MACR,33019041,0.23,-1.25,0.03,100,7.67,18.67,0.23,15.97,0.97,41.78,KGS
OTHR CONC OF ESNL OILS IN FATS/FIXD/WAX OBTAINED BY COLD ABSORPTION OR MACERATION,33019049,2.09,0.45,2.36,21.81,0.89,1.08,-0.97,8.91,-1.02,14.17,KGS
FLAVOURING ESSENCES& ALL TYPES& INCL THOSEFOR LIQUORS (TERPENIC BY-PRODUCT),33019051,0.01,11.11,0,-50,0,0.4,13.11,26.67,-5.56,0,KGS
OTHER TERPENIC BY-PRODUCT,33019059,1.28,4.37,0.24,-35.12,5.33,1.29,1.81,2.8,-3.29,4.99,KGS
AQUEOUS DISTILLATES OF ESSENTIAL OILS& NES,33019060,1.09,-5.39,7.65,-36.42,0.14,1.2,-5.47,6.54,-1.22,497.11,KGS
FLAVOURING ESSENCES& ALL TYPES& INCL THOSEFOR LIQUORS (AQUEOUS SOLUTIONS),33019071,0.19,-1.28,0.02,50,9.5,18.6,0.03,18.2,12.47,91.32,KGS
OTHER AQUEOUS SOLUTIONS OS ESSENTIAL OILS,33019079,2.72,-4.36,0.09,-48.88,30.22,3.34,-4.67,63.86,-5.48,15.07,KGS
OTHR CONC OF ESNL OILS IN FATS/FIXD/WAX LIKE TRPNC BYPRDCTS OF DETERPENATION OF ESNL OILS AQUS DISTLTS/SOLTN ESNL OL,33019090,11.07,-0.27,31.99,-7.13,0.35,0.32,-1.69,9.91,-0.68,22.64,KGS
SYNTHETIC FLAVOURING ESSENCES,33021010,6.29,-1.07,76.16,12.14,0.08,0.11,5.64,28.5,-0.54,9.64,KGS
OTHER MXTR OF ODORFRS SBSTNS OF A KIND USDKIND USD IN FOOD/DRINK INDUSTRIES,33021090,120.06,3.09,66.24,38.74,1.81,1.97,-1.25,20.84,0.95,12.63,KGS
SYNTHETIC PERFUMERY COMPOUNDS,33029011,43.72,-0.26,160.09,13.59,0.27,0.34,-1.52,18.58,0.01,12.11,KGS
SYNTHETIC ESSENTIAL OILS,33029012,1.91,0.97,10.69,18.94,0.18,0.2,2.39,30.49,1.31,19.89,KGS
OTHER MXTR OF AROMATIC CHEMICALS ANDESSN OIL,33029019,2.68,-4.61,59.85,8.99,0.04,0.24,-26.09,26.12,-0.23,10.46,KGS
ALEURITIC ACID,33029020,0.43,0,14.57,13.92,0.03,0.01,1.25,64.51,0.88,89.11,KGS
OTHER MIXTRS OF ODORIFRS SUBSTNS N.E.S.,33029090,74.38,0.95,70.66,-0.05,1.05,0.94,1.13,33.77,-0.52,9.86,KGS
EAU-DE-COLOGNE,33030010,46.09,5.17,15.18,69.28,3.04,3.43,1.35,33.72,2.52,9.31,KGS
ROSE WATER,33030020,0.01,-2.78,1.6,12.34,0.01,0.01,3.58,8.54,0.42,1.75,KGS
KEORA WATER,33030030,0.35,-2.79,3.34,-13.83,0.1,0.14,11.03,53.13,-0.62,7.97,KGS
PERFUMES AND PERFUMERY COMPOUNDS (EXCL AQS DSTLTS) NOT FOR RTL SALE,33030040,4.74,40.92,20.58,14.73,0.23,0.09,-0.63,11.15,1.4,11.87,KGS
PERFMES CONTNG SPIRIT FOR RETAIL SALE,33030050,8.42,1.58,54.67,-5.63,0.15,0.12,-1.38,26.51,-1.32,7.53,KGS
SPIRITUOUS TOILET PREPARATIONS N E S,33030060,3.94,0.04,10.36,67.02,0.38,0.66,6.32,225.67,-0.51,15.78,KGS
OTHER PERFUME AND TOILET WATERS,33030090,116.45,0.44,136.43,20.9,0.85,1.04,-1.13,57.66,-1.66,5,KGS
LIP MAKE UP PREPARATIONS,33041000,61.08,2.4,6.17,6.64,9.9,8.4,0.57,29.44,0.74,37.14,KGS
EYE MAKE UP PREPARATIONS,33042000,34.38,0.09,2.87,-6.34,11.98,10.67,0.65,26.01,-0.09,22.09,KGS
MANICURE OR PEDICURE PREPARATIONS,33043000,0.75,0.08,2.82,113.95,0.27,0.55,2.4,36.61,0.19,6.14,KGS
POWDER FACE,33049110,5.64,0.91,1.28,-14.71,4.41,3,0.31,13.37,-1.48,7.47,KGS
POWDER TALCUM,33049120,2.27,1.13,11.08,3.58,0.2,0.19,-0.78,3.68,-0.37,1.36,KGS
OTHER POWDERS WHETHER OR NOT COMPRESSED,33049190,29.15,4.32,2.4,-18.91,12.15,5.61,-1.37,5.9,-0.32,5.1,KGS
CREAMS FACE (EXCL TURMARIC),33049910,53.54,2.3,47.89,3.72,1.12,0.92,-0.73,18.54,1.06,10.56,KGS
NAIL POLISH /LACQUERS,33049920,2.41,1.29,1.43,-2.65,1.69,1.39,-1.16,6.77,-1.7,4.84,KGS
MOISTURISING LOTION,33049930,11.45,1.78,31.9,18.39,0.36,0.37,-1.03,7.84,-0.93,2.88,KGS
SINDUR&BINDI&KUMKUM,33049940,0.48,-3.88,3.75,-4.49,0.13,0.33,-2.94,33.45,0.75,2.56,KGS
TURMERIC PREPARATIONS,33049950,0.98,-4.72,0.2,-3.85,4.9,24.09,-39.16,96.19,2,3.6,KGS
OTHERS,33049990,238.33,-2.77,282.59,-2.68,0.84,1.41,-3.38,16.14,-1.28,12.82,KGS
HAIR SHAMPOOS (SPIRITUOUS),33051010,0.39,-0.14,2.5,91.51,0.16,0.31,-0.82,2.31,1.3,4.08,KGS
HAIR SHAMPOOS (NON-SPIRITUOUS),33051090,31.15,1.65,44.1,10.89,0.71,0.68,1.11,8.24,-0.84,2.8,KGS
PRPNS FOR PERMNT WAVING OR STRAIGHTENING,33052000,2.29,-1.93,0.06,-25.68,38.17,29.84,2.96,6.7,-0.35,7.76,KGS
HAIR LACQUERS,33053000,1.27,2.34,0.23,5.65,5.52,4.65,0.96,6.67,20.19,20.31,KGS
PERFUMED HAIR OIL,33059011,2.79,6.31,26.41,2.34,0.11,0.07,4.02,20.83,-0.41,3.66,KGS
OTHER HAIR OIL,33059019,0.74,-1.04,9.72,20.06,0.08,0.11,7.74,23.46,1.17,5.62,KGS
BRILLIANTINES (SPIRITUOUS),33059020,0.04,-3.54,2.91,73.65,0.01,0.06,-29.77,37.11,0.1,1.5,KGS
HAIR CREAM,33059030,2.41,0.09,6.66,-2.45,0.36,0.34,-2.11,4.29,0.65,2.43,KGS
HAIR DYES ( NATURAL&HERBAL 0R SYNTHETIC ),33059040,7.78,0.66,70.41,8.42,0.11,0.11,1.33,6.13,0.39,6.08,KGS
HAIR FIXERS,33059050,0.29,10.04,0.16,-25.51,1.81,0.53,3.81,13.26,5.69,6.03,KGS
OTHR PRPNS FOR USE ON HAIR N.E.S.,33059090,53.32,1.43,25.7,11.56,2.07,2.04,-0.72,5.2,-0.05,5.43,KGS
TOOTH POWDER,33061010,6.28,0.53,0.58,-19.26,10.83,6.89,0.52,4.14,5.84,6.18,KGS
TOOTH PASTE,33061020,1.38,0.03,85.28,8.28,0.02,0.02,-0.05,8.26,0.26,3.06,KGS
OTHER DENTRIFRICES,33061090,0.44,0.31,4.27,8.98,0.1,0.11,1.78,26.3,-0.01,6.44,KGS
YARN TO CLEAN BETWN TEETH (DNTL FLOSS),33062000,1.04,0.22,0.06,-26.32,17.33,9.18,0.19,10.53,42.44,32.05,KGS
OTHR PRPNS ORAL/DENTAL HYGNE,33069000,1.57,-1.54,2.5,11.07,0.63,0.94,0.73,2.54,0.63,7.64,KGS
SHAVING CREAM,33071010,0.8,33.66,3.41,52.71,0.23,0.14,-0.74,5.33,2.46,5.37,KGS
OTHER PRE OR AFTER SHAVE PREPNS,33071090,0.57,-3.75,4.07,11.67,0.14,0.42,-0.03,6.88,-0.89,3.74,KGS
PERSONL DEODORNTS AND ANTIPERSPIRANTS,33072000,30.94,1.52,75.02,37.87,0.41,0.51,0.71,8.85,-0.09,7.11,KGS
BATH OIL (THAILAM),33073010,0.08,16.67,0.55,69.57,0.15,0.11,-0.15,11.82,-1.48,2.83,KGS
OTHR PERFUMD BATH SALTS AND OTHR BATH PRPN,33073090,5.09,1.48,5.07,-2.62,1,0.81,1.81,5.02,-2.47,1.04,KGS
AGARBATTI AND OTHR ODORIFEROUS PRPNS WHICHOPERATE BY BURNIN,33074100,0.59,-1.62,145.08,2.42,0,0.01,-0.8,0.87,-0.19,3.6,KGS
OTHER ODORIFEROUS PRPNS USD FOR DEODORIZING ROOM (EXCL AGARBATTI),33074900,11.22,-0.31,33.78,3.22,0.33,0.36,-0.28,5.05,-0.85,3.66,KGS
DEPILATORIES(SOAP&OTHER HAIR REMOVING SUBSTANCES),33079010,0.2,-0.58,4.25,-1.59,0.05,0.05,-0.84,4.97,-1.01,4.24,KGS
STERILE CONTACT LENS CARE SOLUTION,33079020,3.2,-0.97,7.71,11.09,0.42,0.56,-0.42,8.21,-0.36,3.17,KGS
OTHER COSMETIC AND TOILT PRPN N E S,33079090,7.97,-1.53,8.68,13.85,0.92,1.41,3.62,8.56,-2.34,2.57,KGS
MEDICATED SOAPS,34011110,0.05,1.39,14.32,7.49,0,0,2.16,11.11,-0.51,3.07,KGS
SHAVING SOAPS OTHR THN SHAVNG CREAM,34011120,0.85,0.02,0.04,100,21.25,42.38,-0.18,2.49,18.82,10.07,KGS
OTHR SOAP AND ORGNC SURFACE ACTIVE PRODUCTFOR TIOLET USE (INCL MEDICATED PRDCTS),34011190,6.59,-1.5,76.45,6.65,0.09,0.12,0.91,3.11,-0.19,2.79,KGS
INDUSTRIAL SOAP > 500GM IN WEIGHT,34011911,0.01,0,1.01,79.49,0.01,0,0.1,1.23,-1.2,1.51,KGS
OTHER BARS AND BLOCKS > 500 GM IN WEIGHT,34011919,0.05,-0.35,0.27,-18.85,0.19,0.13,7.53,4.85,-0.98,1.45,KGS
FLAKES CHIPS AND POWDER,34011920,137.79,2.42,0.04,-20,3444.75,1774.54,-2.6,1.76,2.25,0.97,KGS
TABLETS AND CAKES,34011930,0,0,0.94,-11.89,0,0,0,0,-1.08,1.61,KGS
HOUSEHOLD SOAPS,34011941,0,-5.56,3.17,6.41,0,0,-5.56,0,-0.1,1.91,KGS
LAUNDRY SOAPS,34011942,0.17,4.21,5.13,3.62,0.03,0.02,17.33,1.41,0.27,0.98,KGS
OTHER HOUSEHOLD AND LAUNDRY SOAPS NES,34011990,0.39,-0.09,2.91,-25.31,0.13,0.08,-2.23,0.92,0.88,2.21,KGS
SOAP IN OTHER FORMS,34012000,126.16,2.18,6.86,-19.12,18.39,9.91,-0.27,0.99,1.73,1.53,KGS
MEDICATED TOILET SOAPS,34013011,0.07,7.41,0.21,6.25,0.33,0.21,-0.98,24.24,7.18,3.99,KGS
SHAVING CREAM AND SHAVING GEL,34013012,0.12,-2.28,0.16,38.89,0.75,1.7,0.86,4.47,0.71,1.97,KGS
OTHR ORGANIC SURFACE-ACTIVE PROD(TOILET),34013019,7.78,0.84,25.94,31.01,0.3,0.38,0.54,5.09,-0.64,2.34,KGS
OTHER ORGANIC SURFACE-ACTIVE PRODUCT NES,34013090,14.81,0.54,16.06,-3.89,0.92,0.81,1.28,7.31,-0.59,4.24,KGS
*SILICON SURFACTANT,34021110,0,-5.56,0,-50,0,0.79,-5.56,0,-5.56,0,KGS
*OTHERS(E.G.ALKYLSULPHATES&TECHNICAL DODECYLBENZENE-SULPHONATES&ETC),34021190,0,-5.56,0,-50,0,0.25,-5.56,0,-5.56,0,KGS
*CATIONIC W/N FOR RTL SALE,34021200,0,-5.56,0,-50,0,6.7,-5.56,0,-5.56,0,KGS
*NON-IONIC W/N FOR RTL SALE,34021300,0,-5.56,0,-50,0,0.73,-5.56,0,-5.56,0,KGS
*OTHR ORNGC SRFCE-ACTV AGNTS W/N FOR RTL SL,34021900,0,-5.56,0,-50,0,1.01,-5.56,0,-5.56,0,KGS
*WASHING AND CLEANING PREPARATIONS HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE,34022010,0,-5.56,0,-50,0,1.16,-5.56,0,-5.56,0,KGS
*CLEANING OR DEGREASING PREPN NOT HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE,34022020,0,-5.56,0,-50,0,2.8,-5.56,0,-5.56,0,KGS
*OTHER PREPARATIONS PUT UP FOR RETAIL SALE,34022090,0,-5.56,0,-50,0,0.32,-5.56,0,-5.56,0,KGS
LINEAR ALKYLBENZENESULPHONIC ACIDS AND THEIR SALTS (ANIONIC ORGANIC SURFACE ACTIVE AGENTS& W/N PUT UP FOR RETAIL SALE),34023100,3.94,3.88,146.15,42.5,0.03,0.03,-1.51,1.4,-0.24,1.26,KGS
OTHER,34023900,51.17,5.23,105.77,16.31,0.48,0.38,-0.28,2.55,-0.4,1.73,KGS
CATIONIC (OTHER ORGANIC SURFACE ACTIVE AGENTS& W/N PUT UP FOR RETAIL SALE),34024100,19.8,6.31,5,25.76,3.96,3.2,-1.16,2.15,-0.09,2.48,KGS
NON-IONIC (OTHER ORGANIC SURFACE ACTIVE AGENTS& W/N PUT UP FOR RETAIL SALE),34024200,126.86,5.81,178.03,26.11,0.71,0.59,-0.53,2.77,-0.45,2.12,KGS
OTHER,34024900,21.06,-0.13,47.3,44.14,0.45,0.7,-0.55,4.1,-0.12,1.31,KGS
PREPARATIONS PUT UP FOR RETAIL SALE (OTHER ORGANIC SURFACE ACTIVE AGENTS),34025000,4.29,2.04,28.3,58.07,0.15,0.2,0.34,4.07,0.34,2.56,KGS
WASHING AND CLEANING PREPARATIONS HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(SYNTHETIC DETERGENTS),34029011,11.97,1.1,17.36,11.93,0.69,0.71,-0.66,1.09,0.39,0.78,KGS
CLEANING OR DEGREASING PREPN NOT HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(SYNTHETIC DETERGENTS),34029012,3.18,1.14,1.83,-12.09,1.74,1.22,-1.07,2.52,-0.66,5.25,KGS
OTHER (SYNTHETIC DETERGENTS),34029019,38.74,0.88,7.13,-0.46,5.43,4.84,-0.22,3,-1.01,1.56,KGS
SULPHONATED OR SULPHATED OR OXIDIZED OR CASTOR &FISH &SPARM &NEATS FOOT OILS,34029020,0.67,-2.77,1.34,-24,0.5,0.52,-0.89,2.06,0.93,1.86,KGS
PENETRATORS,34029030,0.78,-1.59,1.51,29.75,0.52,0.93,-1.52,3.53,2.04,2.65,KGS
WASHING AND CLEANING PREPARATIONS HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(WETTING AGENTS),34029041,0.43,-2.09,2.18,31.95,0.2,0.41,0.4,5.59,-0.27,1.07,KGS
CLEANING OR DEGREASING PREPN NOT HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(WETTING AGENTS),34029042,0.18,-0.38,0.25,-12.5,0.72,0.61,8.24,4.56,-0.21,1.8,KGS
OTHER (WETTING AGENTS),34029049,4.1,-2.3,1.69,-33.67,2.43,1.46,0.31,3.02,-0.27,1.98,KGS
WASHING AND CLEANING PREPARATIONS HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(WASHING PREPARATIONS),34029051,5.91,13.31,19.33,778.43,0.31,0.49,0.78,1.36,3.96,6.74,KGS
CLEANING OR DEGREASING PREPN NOT HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(WASHING PREPARATIONS),34029052,0.02,-2.53,0.16,76.32,0.13,0.37,-2.44,2.48,0.51,1.58,KGS
OTHER (WASHING PREPARATIONS),34029059,5.78,-3.2,0.44,-19.01,13.14,18.14,9.15,10.91,2.03,3.08,KGS
WASHING AND CLEANING PREPARATIONS HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(OTHER PREPARATIONS),34029091,1.38,-1.75,2.65,-37.17,0.52,0.22,2.27,3.3,1.03,1.8,KGS
CLEANING OR DEGREASING PREPN NOT HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(OTHER PREPARATIONS),34029092,1.43,2.31,0.9,123.08,1.59,2.65,-0.19,5.56,-0.8,1.31,KGS
OTHER (OTHER PREPARATIONS) NES,34029099,125.37,0.95,41.73,1.98,3,2.75,-0.1,3.09,0.62,2.37,KGS
PRPNS FOR THE TRTMNT OF TXTL MATRLS LEATHER FURSKINS/OTHER MATERIALS CONTNG PETROLIUM OILS/OIL OBTND FROM BITMNS,34031100,49.49,1.01,3.11,2.53,15.91,14.6,-0.44,2.5,-0.38,1.49,KGS
OTHR PRPNS CNTNG PTRLM OILS/OILS OBTAINED FROM BITUMINOUS MINERALS,34031900,104.72,0.06,29.07,66.87,3.6,6.26,2.74,3.98,2.01,6.01,KGS
OTHR PRPNS FR THE TRTMNT OF TXTLE MATRLS LEATHER FURSKINS OR OTHER MATRLS,34039100,68.22,-0.49,2.32,-2.26,29.41,30.44,0.08,2.27,0.29,1.68,KGS
OTHER LUBRICTNG PREPARATIONS,34039900,191.13,0.42,34.32,14.56,5.57,6.35,8.97,5.34,0.43,3.63,KGS
ARTFCL WAXES POLYETHYLENE GLYCOL,34042000,91.79,0.88,16.8,19.25,5.46,6.19,-3.04,1.16,-0.01,3.07,KGS
SEALING WAX (INCL BOTTLE SEALING WAX) IN STICKS CAKES OR SIMILAR FORMS,34049010,1.68,-0.8,0.15,20.31,11.2,16.11,-2.6,2.63,-2.21,1.85,KGS
POLYETHYLENE WAX,34049020,60.02,1.9,30.58,9.98,1.96,1.81,-1.05,1.51,-0.11,2.58,KGS
POLY BROMINATED BIPHENYLS,34049031,0,0,0,0,0,0,0,0,0,0,KGS
POLY CHLORINATED BIPHENYLS,34049032,0,0,0,0,0,0,0,0,0,0,KGS
POLY CHLORINATED TERPHENYLS,34049033,0,0,0,0,0,0,0,0,0,0,KGS
OTHER ARTIFICIAL WAXES&PREPARED WAXES NOT EMULSIFIED OR CONTAINING SOLVENTS,34049039,6.27,0.71,0.23,-27.88,27.26,12.83,-1.44,1.96,0.57,4.2,KGS
OTHER ARTFCL WAXES AND PREPD WAXES NES.,34049090,83.91,1.22,28.2,4.35,2.98,2.74,-0.3,2.83,-0.62,3.24,KGS
POLISHES CRMS AND SMLR PRPNS FR FTWEAR/LTHR,34051000,4.42,0.24,2.72,16.56,1.63,1.93,-0.51,5.82,1.41,7.76,KGS
POLISHS CRMS AND SMLR PRPNS FR THE MANTNANC OF WOODEN FURNITURE FLOORS/OTHR WOODWRK,34052000,0.1,-3.68,0.94,-5.66,0.11,0.24,-2.01,4.41,1.42,1.98,KGS
POLISHES AND SMLR PRPNS FR COACHWRK EXCEPT MTL POLISHES,34053000,6.02,2.74,0.23,68.97,26.17,34.83,-1,4.83,-1.55,4.44,KGS
SCOURING PASTES&PWDRS AND OTHR SCRNG PRPNS,34054000,1.27,-1.3,2.11,-4.72,0.6,0.69,-1.99,0.91,7.54,0.86,KGS
P0LISHES AND C0MP0SITI0N F0R APPLICATI0N T0 METAL INCL DIAM0ND P0LISHNG P0WDR/PASTE,34059010,1.49,-1.58,2.49,-6.72,0.6,0.7,-1.58,5.07,-0.39,2.31,KGS
OTHER POLISHES AND CREAMS,34059090,15.93,0.76,1.58,-11.71,10.08,7.46,0.82,5.31,1.13,2.8,KGS
CANDLES,34060010,2.46,-2.44,92.9,11.36,0.03,0.05,-0.13,1.8,-0.37,2.92,KGS
OTHER CANDLES TAPERS AND THE LIKE,34060090,1.44,-2.07,1.98,11.88,0.73,1.23,-0.58,4.14,0.93,4.6,KGS
MODELLING PASTES& INCLUDING THOSE PUT UP FOR CHILDREN S AMUSEMENT,34070010,1.8,-2.7,0.63,-7.43,2.86,4.32,-0.93,1.03,-0.85,2.44,KGS
OTHR MODELING PASTESANDOTHR PRPNS IN DIFERNTFORM USED IN DENTISTRY WTH A BASIS OF PLSTR (OF CALCND GYPSUM/,34070090,8.12,1.38,2.9,4.58,2.8,2.54,2.19,6.35,0.8,10.62,KGS
CASEIN CASEIN DERIVATIVES CASEIN GLUES,35011000,1.88,0.51,19.58,-32.98,0.1,0.04,-1.03,6.57,-1.71,7.17,KGS
CASEINATE OTHER CASEIN DRVTS ANDCASEIN GLUES,35019000,8.83,1.97,1.43,-40.43,6.17,1.19,5.41,7.34,-1.29,9.22,KGS
DRIED (EGG ALBUMIN ),35021100,2.69,1488.89,10.53,-14.27,0.26,0.05,-0.01,16.91,-2.46,6.22,KGS
OTHER (EGG ALBUMIN ),35021900,0.04,2.78,0.25,25,0.16,0.16,-27.64,171.67,0.54,1.39,KGS
MILK ALBUMIN INCLDNG CONCENTRATES OF TWO OR MORE WHEY PROTEINS,35022000,167.77,1.59,0.13,-26.79,1290.54,576.24,1.15,9.46,-0.98,12.08,KGS
OTHER ALBUMINATES AND OTHER ALBUMIN DRVTVS,35029000,1.62,-1.24,0.98,291.86,1.65,5.58,2.76,12.56,1.59,318.91,KGS
ISINGLASS,35030010,0.33,-4.01,0.05,-24.14,6.6,11.47,-0.2,8.28,-1.41,4.31,KGS
GELATIN EDIBLE N.E.S.,35030020,7.86,3.3,43.09,0.26,0.18,0.13,0.04,7.1,-0.38,8.35,KGS
GLUES DRVD FROM BONES HIDES ETC AND FISHFLUS,35030030,0.65,-2.67,2.04,1.69,0.32,0.55,2.85,6.86,0.77,1.88,KGS
OTHERS,35030090,38.59,0.02,0.12,-37.5,321.58,98.67,-0.64,6.05,0.78,1.29,KGS
PEPTONE,35040010,9.28,2.97,17.51,87.95,0.53,0.75,-0.73,14.29,-0.02,14.81,KGS
ISOLATED SOYA PROTEIN,35040091,35.98,-1.14,1.88,-21.6,19.14,14.54,-0.48,3.48,-1.01,2.38,KGS
OTHR PEPTONES&THEIR DERIVATVS OTHR PROTEINAND NES/INCLD HIDE PWDR W/N CHRMD,35040099,20.07,3.17,12.42,23.23,1.62,1.54,-1.67,5.7,1.64,3.35,KGS
ESTERIFIED STARCHES,35051010,9.27,0.64,3.37,10.54,2.75,2.92,0.25,2.95,-0.38,0.78,KGS
OTHER DEXTRINS AND OTHER MODIFIED STARCHES,35051090,69.82,0.67,46.49,0.3,1.5,1.39,0.53,1.32,0.2,0.74,KGS
GLUES,35052000,10.45,-1.33,1.08,-15.46,9.68,8.96,0.19,6.11,-1.82,0.67,KGS
PRDCTS FOR USE AS GLUES/ADHSVS PUT UP FOR RETL SALE AS GLUES/ADHSVS NT EXCDNG 1 KG,35061000,42.42,1.83,30.1,10.13,1.41,1.31,-0.2,5.77,-1.02,4.67,KGS
BASED ON LATEX& PHENOL FORMALDEHYDE (PF)& UREA FORMALDEHYDE (UF) AND POLYVINYL,35069110,2.89,-4.04,12.32,13.55,0.23,0.84,-0.44,2.84,-1.47,2.38,KGS
OTHER ADHESIVES BASED ON POLYMERS OF HDING3901 TO 3913 OR ON RUBBER:,35069190,160.48,0.94,61.41,5.73,2.61,2.52,-0.9,3.1,0.12,2.77,KGS
SYNTHETIC GLUE WITH PHENOL UREA/CRESOL( WTH(WTH FORMALDEHYDE) AS THE MAIN COMPONENT,35069910,4.03,53.36,0.33,55.32,12.21,6.46,0.82,5.97,-1.96,0.23,KGS
BASED ON STARCH& GUM& LATEX& PF& UF AND PVA,35069991,0.38,-1.44,0.33,32.5,1.15,2.06,-0.69,3.89,1.53,1.22,KGS
OTHR PRPD GLUES AND OTHR ADHSVS NES,35069999,144.11,0.77,9.28,0.78,15.53,14.28,-1.62,4.51,-0.44,2.43,KGS
ANIMAL RENNET (MICROBIAL),35071011,0,0,0.01,100,0,0,0,0,11.86,147.06,KGS
OTHER RENNET (MICROBIAL),35071019,0,0,0,-50,0,0,0,0,-5.56,0,KGS
ANIMAL RENNET(OTHER),35071091,0,0,0,0,0,0,0,0,0,0,KGS
OTHER RENETS AND CONCENTRATION THEREOF,35071099,0,-5.56,0,-50,0,2.38,-5.56,0,-5.56,0,KGS
INDUSTRIAL ENZYMES(TEXTILE ASSISTANT),35079010,13.49,1.2,6.37,29.43,2.12,2.54,-0.35,5.13,1.34,7.3,KGS
